BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-03-25,НЛМК ао,NLMK,2889,78588469.3,83.65,81.7,83.85,82.09,82.4,82.09,954410,82.34,82.34,82.09,78588469.3,78588469.3,78588469.3,,3
TQBR,2016-03-28,НЛМК ао,NLMK,8092,207652164.4,82.09,81.07,83.73,82.9,82.34,82.9,2521800,82.34,82.34,82.9,207652164.4,207652164.4,207652164.4,,3
TQBR,2016-03-29,НЛМК ао,NLMK,8259,288694834.3,83.28,80.05,83.96,82.62,82.84,82.62,3485220,82.83,82.83,82.62,288694834.3,288694834.3,288694834.3,,3
TQBR,2016-03-30,НЛМК ао,NLMK,10347,335229579.7,82.8,82.07,85.7,84.49,84.06,84.49,3987240,84.08,84.08,84.49,335229579.7,335229579.7,335229579.7,,3
TQBR,2016-03-31,НЛМК ао,NLMK,8301,242766983.3,84.1,82.85,84.78,83.36,83.68,83.36,2901260,83.68,83.68,83.36,242766983.3,242766983.3,242766983.3,,3
TQBR,2016-04-01,НЛМК ао,NLMK,11259,476021887.9,82.31,82.21,86.71,86.28,84.64,86.28,5619500,84.71,84.71,86.28,476021887.9,476021887.9,476021887.9,,3
TQBR,2016-04-04,НЛМК ао,NLMK,13971,458969625.2,86.46,85.62,89.49,89.14,88.31,89.14,5199800,88.27,88.27,89.14,458969625.2,458969625.2,458969625.2,,3
TQBR,2016-04-05,НЛМК ао,NLMK,8421,204067162.0,88.46,87.76,89.15,88.05,88.29,88.05,2311490,88.28,88.28,88.05,204067162.0,204067162.0,204067162.0,,3
TQBR,2016-04-06,НЛМК ао,NLMK,6824,237533315.5,88.48,86.25,88.65,88.12,87.56,88.12,2713290,87.54,87.54,88.12,237533315.5,237533315.5,237533315.5,,3
TQBR,2016-04-07,НЛМК ао,NLMK,5618,231947048.1,88.13,88.0,89.87,89.8,89.31,89.8,2596610,89.33,89.33,89.8,231947048.1,231947048.1,231947048.1,,3
TQBR,2016-04-08,НЛМК ао,NLMK,8150,328486634.5,89.8,88.25,91.5,90.09,90.02,90.09,3648830,90.03,90.03,90.09,328486634.5,328486634.5,328486634.5,,3
TQBR,2016-04-11,НЛМК ао,NLMK,5424,207300608.6,90.5,89.14,91.0,89.5,90.01,89.5,2303240,90.0,90.0,89.5,207300608.6,207300608.6,207300608.6,,3
TQBR,2016-04-12,НЛМК ао,NLMK,6549,191798933.8,89.52,87.15,89.53,87.15,88.18,87.15,2175610,88.16,88.16,87.15,191798933.8,191798933.8,191798933.8,,3
TQBR,2016-04-13,НЛМК ао,NLMK,10071,390085138.3,87.2,83.5,88.33,85.75,86.03,85.75,4534830,86.02,86.02,85.75,390085138.3,390085138.3,390085138.3,,3
TQBR,2016-04-14,НЛМК ао,NLMK,14617,428253257.6,85.6,85.27,88.65,87.4,87.27,87.4,4905840,87.29,87.29,87.4,428253257.6,428253257.6,428253257.6,,3
TQBR,2016-04-15,НЛМК ао,NLMK,11745,383854766.7,86.7,86.69,88.99,88.22,88.16,88.22,4353150,88.18,88.18,88.22,383854766.7,383854766.7,383854766.7,,3
TQBR,2016-04-18,НЛМК ао,NLMK,8135,236672250.7,87.61,87.12,88.88,87.7,88.0,87.7,2689150,88.01,88.01,87.7,236672250.7,236672250.7,236672250.7,,3
