BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-06-30,Новатэк ао,NVTK,4860,356528760.0,638.0,638.0,648.0,647.6,645.2,647.6,552540,645.3,645.3,647.6,356528760.0,356528760.0,356528760.0,,3
TQBR,2016-07-01,Новатэк ао,NVTK,3643,322430415.0,648.3,642.2,652.4,644.2,647.6,644.2,497900,647.6,647.6,644.2,322430415.0,322430415.0,322430415.0,,3
TQBR,2016-07-04,Новатэк ао,NVTK,3116,198701999.0,644.5,639.2,650.0,641.5,643.2,641.5,308900,643.3,643.3,641.5,198701999.0,198701999.0,198701999.0,,3
TQBR,2016-07-05,Новатэк ао,NVTK,4447,378028702.0,641.9,629.0,641.9,634.1,632.6,634.1,597550,632.6,632.6,634.1,378028702.0,378028702.0,378028702.0,,3
TQBR,2016-07-06,Новатэк ао,NVTK,4661,349509568.0,629.7,627.0,637.7,632.0,630.9,632.0,553960,630.9,630.9,632.0,349509568.0,349509568.0,349509568.0,,3
TQBR,2016-07-07,Новатэк ао,NVTK,6630,578769754.0,634.5,634.5,650.7,640.0,643.6,640.0,899250,643.6,643.6,640.0,578769754.0,578769754.0,578769754.0,,3
TQBR,2016-07-08,Новатэк ао,NVTK,8717,797680384.0,638.5,629.2,642.5,638.5,635.1,638.5,1255980,635.1,635.1,638.5,797680384.0,797680384.0,797680384.0,,3
TQBR,2016-07-11,Новатэк ао,NVTK,3599,345392823.0,641.5,635.2,648.0,643.2,642.5,643.2,537570,642.5,642.5,643.2,345392823.0,345392823.0,345392823.0,,3
TQBR,2016-07-12,Новатэк ао,NVTK,6283,645137524.0,641.2,641.2,665.9,659.8,658.1,659.8,980480,658.0,658.0,659.8,645137524.0,645137524.0,645137524.0,,3
TQBR,2016-07-13,Новатэк ао,NVTK,5323,596272966.0,659.2,653.5,665.9,660.5,660.6,660.5,902690,660.6,660.6,660.5,596272966.0,596272966.0,596272966.0,,3
TQBR,2016-07-14,Новатэк ао,NVTK,5727,497695053.0,662.4,647.5,665.0,650.2,653.9,650.2,761060,653.9,653.9,650.2,497695053.0,497695053.0,497695053.0,,3
TQBR,2016-07-15,Новатэк ао,NVTK,4035,421590968.0,650.2,650.2,663.6,651.6,656.8,651.6,641880,656.8,656.8,651.6,421590968.0,421590968.0,421590968.0,,3
TQBR,2016-07-18,Новатэк ао,NVTK,3458,344100531.0,654.6,645.0,659.4,648.2,649.6,648.2,529710,649.6,649.6,648.2,344100531.0,344100531.0,344100531.0,,3
TQBR,2016-07-19,Новатэк ао,NVTK,6662,610737049.0,652.3,641.3,655.0,645.1,646.9,645.1,943750,647.1,647.1,645.1,610737049.0,610737049.0,610737049.0,,3
TQBR,2016-07-20,Новатэк ао,NVTK,5075,470149718.0,646.0,639.5,649.2,646.9,642.1,646.9,732180,642.1,642.1,646.9,470149718.0,470149718.0,470149718.0,,3
TQBR,2016-07-21,Новатэк ао,NVTK,3973,462112097.0,649.0,647.1,656.8,653.5,652.6,653.5,708030,652.7,652.7,653.5,462112097.0,462112097.0,462112097.0,,3
TQBR,2016-07-22,Новатэк ао,NVTK,1851,167282391.0,652.9,645.6,655.2,645.9,648.7,645.9,257970,648.5,648.5,645.9,167282391.0,167282391.0,167282391.0,,3
TQBR,2016-07-25,Новатэк ао,NVTK,4062,392953593.0,649.1,640.6,654.0,642.8,647.3,642.8,606960,647.4,647.4,642.8,392953593.0,392953593.0,392953593.0,,3
TQBR,2016-07-26,Новатэк ао,NVTK,4235,381655527.0,644.1,641.1,655.0,655.0,647.1,655.0,589750,647.1,647.1,655.0,381655527.0,381655527.0,381655527.0,,3
TQBR,2016-07-27,Новатэк ао,NVTK,4983,530134052.0,652.6,646.3,664.5,655.4,655.1,655.4,809170,655.2,655.2,655.4,530134052.0,530134052.0,530134052.0,,3
TQBR,2016-07-28,Новатэк ао,NVTK,5337,565647040.0,657.4,650.1,661.5,653.2,654.6,653.2,864200,654.5,654.5,653.2,565647040.0,565647040.0,565647040.0,,3
TQBR,2016-07-29,Новатэк ао,NVTK,4552,451788013.0,653.2,644.8,657.3,648.1,652.1,648.1,692960,652.0,652.0,648.1,451788013.0,451788013.0,451788013.0,,3
TQBR,2016-08-01,Новатэк ао,NVTK,4889,453307827.0,651.6,651.6,663.6,654.8,658.3,654.8,688140,658.7,658.7,654.8,453307827.0,453307827.0,453307827.0,,3
TQBR,2016-08-02,Новатэк ао,NVTK,8387,689580639.0,652.0,640.0,653.1,641.0,643.6,641.0,1071870,643.3,643.3,641.0,689580639.0,689580639.0,689580639.0,,3
TQBR,2016-08-03,Новатэк ао,NVTK,4307,288027799.0,640.0,640.0,646.0,645.0,641.7,645.0,448620,642.0,642.0,645.0,288027799.0,288027799.0,288027799.0,,3
TQBR,2016-08-04,Новатэк ао,NVTK,6786,700348036.0,648.8,647.4,658.5,652.4,654.0,652.4,1070470,654.2,654.2,652.4,700348036.0,700348036.0,700348036.0,,3
TQBR,2016-08-05,Новатэк ао,NVTK,4864,394329643.0,654.5,644.1,656.8,647.3,648.6,647.3,608430,648.1,648.1,647.3,394329643.0,394329643.0,394329643.0,,3
TQBR,2016-08-08,Новатэк ао,NVTK,2529,229483704.0,650.2,647.0,654.6,648.1,650.6,648.1,352670,650.7,650.7,648.1,229483704.0,229483704.0,229483704.0,,3
TQBR,2016-08-09,Новатэк ао,NVTK,4079,450664105.0,647.5,644.8,660.8,652.1,654.5,652.1,688090,654.9,654.9,652.1,450664105.0,450664105.0,450664105.0,,3
TQBR,2016-08-10,Новатэк ао,NVTK,4570,495297380.0,652.9,642.3,653.0,642.4,647.7,642.4,765120,647.3,647.3,642.4,495297380.0,495297380.0,495297380.0,,3
TQBR,2016-08-11,Новатэк ао,NVTK,5301,514343969.0,644.5,640.0,645.5,643.5,641.6,643.5,801780,641.5,641.5,643.5,514343969.0,514343969.0,514343969.0,,3
TQBR,2016-08-12,Новатэк ао,NVTK,3532,404079457.0,647.9,644.5,652.4,650.4,649.2,650.4,622360,649.3,649.3,650.4,404079457.0,404079457.0,404079457.0,,3
TQBR,2016-08-15,Новатэк ао,NVTK,3745,460943857.0,651.9,649.9,658.5,658.4,655.3,658.4,703130,655.6,655.6,658.4,460943857.0,460943857.0,460943857.0,,3
TQBR,2016-08-16,Новатэк ао,NVTK,7297,798149778.0,658.5,654.4,674.7,668.0,665.5,668.0,1198800,665.8,665.8,668.0,798149778.0,798149778.0,798149778.0,,3
TQBR,2016-08-17,Новатэк ао,NVTK,4038,551490567.0,665.8,665.5,677.4,672.7,672.0,672.7,820760,671.9,671.9,672.7,551490567.0,551490567.0,551490567.0,,3
TQBR,2016-08-18,Новатэк ао,NVTK,3311,548582044.0,674.4,672.1,680.0,679.9,676.6,679.9,810450,676.9,676.9,679.9,548582044.0,548582044.0,548582044.0,,3
TQBR,2016-08-19,Новатэк ао,NVTK,3115,437860022.0,679.0,677.7,686.0,680.1,681.8,680.1,642200,681.8,681.8,680.1,437860022.0,437860022.0,437860022.0,,3
TQBR,2016-08-22,Новатэк ао,NVTK,4835,514877282.0,679.0,672.0,693.0,688.6,680.8,688.6,756310,680.8,680.8,688.6,514877282.0,514877282.0,514877282.0,,3
TQBR,2016-08-23,Новатэк ао,NVTK,3448,339349270.0,689.7,685.3,699.0,696.0,692.7,696.0,489930,692.6,692.6,696.0,339349270.0,339349270.0,339349270.0,,3
TQBR,2016-08-24,Новатэк ао,NVTK,3298,450505725.0,697.0,693.1,704.5,697.5,697.2,697.5,646140,697.2,697.2,697.5,450505725.0,450505725.0,450505725.0,,3
TQBR,2016-08-25,Новатэк ао,NVTK,2920,351718531.0,696.4,692.1,700.8,698.8,695.6,698.8,505660,695.6,695.6,698.8,351718531.0,351718531.0,351718531.0,,3
TQBR,2016-08-26,Новатэк ао,NVTK,5155,591167380.0,697.8,692.2,710.0,708.1,701.6,708.1,842640,701.6,701.6,708.1,591167380.0,591167380.0,591167380.0,,3
TQBR,2016-08-29,Новатэк ао,NVTK,2978,278836716.0,702.0,689.0,706.1,695.6,693.5,695.6,402090,693.5,693.5,695.6,278836716.0,278836716.0,278836716.0,,3
TQBR,2016-08-30,Новатэк ао,NVTK,2931,244868485.0,695.8,692.0,705.1,695.7,698.8,695.7,350400,698.8,698.8,695.7,244868485.0,244868485.0,244868485.0,,3
TQBR,2016-08-31,Новатэк ао,NVTK,4417,388627512.0,695.7,680.2,695.7,684.9,687.8,684.9,565140,687.7,687.7,684.9,388627512.0,388627512.0,388627512.0,,3
TQBR,2016-09-01,Новатэк ао,NVTK,4731,400705542.0,684.9,671.2,684.9,678.2,676.9,678.2,591930,676.9,676.9,678.2,400705542.0,400705542.0,400705542.0,,3
TQBR,2016-09-02,Новатэк ао,NVTK,5571,562250972.0,676.2,671.5,691.5,691.5,682.1,691.5,824340,682.1,682.1,691.5,562250972.0,562250972.0,562250972.0,,3
TQBR,2016-09-05,Новатэк ао,NVTK,7600,768839021.0,691.3,673.4,703.7,677.9,683.6,677.9,1124720,683.6,683.6,677.9,768839021.0,768839021.0,768839021.0,,3
TQBR,2016-09-06,Новатэк ао,NVTK,4579,360755743.0,678.0,671.6,682.2,680.1,677.2,680.1,532690,677.2,677.2,680.1,360755743.0,360755743.0,360755743.0,,3
TQBR,2016-09-07,Новатэк ао,NVTK,4347,352240595.0,680.1,673.9,683.6,680.3,676.7,680.3,520440,676.8,676.8,680.3,352240595.0,352240595.0,352240595.0,,3
TQBR,2016-09-08,Новатэк ао,NVTK,2848,272903070.0,680.3,675.0,683.9,679.2,678.9,679.2,401980,678.9,678.9,679.2,272903070.0,272903070.0,272903070.0,,3
TQBR,2016-09-09,Новатэк ао,NVTK,2393,212924986.0,679.2,674.1,681.6,677.9,676.2,677.9,314850,676.3,676.3,677.9,212924986.0,212924986.0,212924986.0,,3
TQBR,2016-09-12,Новатэк ао,NVTK,5471,531349128.0,673.5,665.5,676.9,669.3,669.7,669.3,793460,669.7,669.7,669.3,531349128.0,531349128.0,531349128.0,,3
TQBR,2016-09-13,Новатэк ао,NVTK,5010,566527118.0,670.0,651.0,675.6,653.9,661.8,653.9,855670,662.1,662.1,653.9,566527118.0,566527118.0,566527118.0,,3
TQBR,2016-09-14,Новатэк ао,NVTK,5587,542161516.0,654.0,645.0,655.0,651.4,649.2,651.4,835150,649.2,649.2,651.4,542161516.0,542161516.0,542161516.0,,3
TQBR,2016-09-15,Новатэк ао,NVTK,6008,538896241.0,652.0,645.0,668.5,660.7,657.6,660.7,819500,657.6,657.6,660.7,538896241.0,538896241.0,538896241.0,,3
TQBR,2016-09-16,Новатэк ао,NVTK,4851,580515245.0,664.8,655.0,670.9,665.5,663.3,665.5,875190,663.3,663.3,665.5,580515245.0,580515245.0,580515245.0,,3
TQBR,2016-09-19,Новатэк ао,NVTK,3616,374658047.0,667.0,655.0,670.1,658.4,660.3,658.4,567440,660.3,660.3,658.4,374658047.0,374658047.0,374658047.0,,3
TQBR,2016-09-20,Новатэк ао,NVTK,10348,1347131021.0,658.0,632.2,658.0,639.1,638.4,639.1,2110650,638.3,638.3,639.1,1347131021.0,1347131021.0,1347131021.0,,3
TQBR,2016-09-21,Новатэк ао,NVTK,4636,439725540.0,642.3,638.1,648.0,643.3,642.5,643.3,684380,642.5,642.5,643.3,439725540.0,439725540.0,439725540.0,,3
TQBR,2016-09-22,Новатэк ао,NVTK,5877,628515751.0,645.6,638.8,664.0,661.0,654.7,661.0,960080,654.6,654.6,661.0,628515751.0,628515751.0,628515751.0,,3
TQBR,2016-09-23,Новатэк ао,NVTK,4073,554392948.0,659.0,651.1,665.6,665.0,658.5,665.0,841650,658.7,658.7,665.0,554392948.0,554392948.0,554392948.0,,3
TQBR,2016-09-26,Новатэк ао,NVTK,2793,367256169.0,662.3,653.7,664.8,662.4,660.1,662.4,556410,660.0,660.0,662.4,367256169.0,367256169.0,367256169.0,,3
TQBR,2016-09-27,Новатэк ао,NVTK,3956,357654328.0,664.5,650.2,664.5,663.8,658.8,663.8,542850,658.8,658.8,663.8,357654328.0,357654328.0,357654328.0,,3
