BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-05-25,Сургнфгз,SNGS,11208,1091769680.0,35.74,35.08,35.925,35.255,35.355,35.19,30875700,35.37,35.37,35.255,1009424463.0,1009424463.0,1009424463.0,0.0,3
TQBR,2021-05-26,Сургнфгз,SNGS,11149,959229261.5,35.3,35.195,36.1,35.585,35.7,35.65,26869700,35.7,35.7,35.585,937157918.5,937157918.5,937157918.5,0.0,3
TQBR,2021-05-27,Сургнфгз,SNGS,12394,1961919334.0,35.65,35.15,36.325,35.955,35.745,35.935,54886800,35.74,35.74,35.955,1906299413.5,1906299413.5,1906299413.5,0.0,3
TQBR,2021-05-28,Сургнфгз,SNGS,8517,780299112.5,35.9,35.685,36.27,36.19,35.98,36.14,21690100,35.97,35.97,36.19,748728739.5,748728739.5,748728739.5,0.0,3
TQBR,2021-05-31,Сургнфгз,SNGS,9565,1073744731.5,36.245,36.01,36.975,36.24,36.47,36.255,29440300,36.48,36.48,36.24,1038529471.0,1038529471.0,1038529471.0,0.0,3
TQBR,2021-06-01,Сургнфгз,SNGS,10725,1215515654.5,36.5,36.245,36.695,36.335,36.435,36.4,33363000,36.435,36.435,36.335,1163246083.0,1163246083.0,1163246083.0,0.0,3
TQBR,2021-06-02,Сургнфгз,SNGS,11575,1359466450.0,36.5,36.2,36.775,36.365,36.415,36.44,37332100,36.415,36.415,36.365,1276130573.0,1276130573.0,1276130573.0,0.0,3
TQBR,2021-06-03,Сургнфгз,SNGS,8341,995770304.5,36.55,36.26,36.695,36.5,36.465,36.52,27307700,36.465,36.465,36.5,936644257.0,936644257.0,936644257.0,0.0,3
TQBR,2021-06-04,Сургнфгз,SNGS,8484,1155952115.5,36.605,36.22,36.725,36.41,36.44,36.445,31721200,36.44,36.44,36.41,1124016933.5,1124016933.5,1124016933.5,0.0,3
TQBR,2021-06-07,Сургнфгз,SNGS,5342,409697228.5,36.47,36.255,36.55,36.515,36.405,36.485,11254600,36.4,36.4,36.515,392396433.0,392396433.0,392396433.0,0.0,3
TQBR,2021-06-08,Сургнфгз,SNGS,7606,546047228.5,36.485,36.17,36.55,36.18,36.28,36.41,15051700,36.275,36.275,36.18,479573885.5,479573885.5,479573885.5,0.0,3
TQBR,2021-06-09,Сургнфгз,SNGS,8701,967387007.0,36.525,36.11,36.575,36.35,36.335,36.32,26622900,36.335,36.335,36.35,944441028.0,944441028.0,944441028.0,0.0,3
TQBR,2021-06-10,Сургнфгз,SNGS,10024,1254677145.5,36.35,35.71,36.49,36.2,36.185,36.225,34675900,36.185,36.185,36.2,1221892313.0,1221892313.0,1221892313.0,0.0,3
TQBR,2021-06-11,Сургнфгз,SNGS,9713,1516366778.5,36.2,36.06,36.51,36.39,36.335,36.38,41726400,36.34,36.34,36.39,1430684332.0,1430684332.0,1430684332.0,0.0,3
TQBR,2021-06-14,Сургнфгз,SNGS,10920,1098117572.0,36.54,36.4,37.34,37.025,36.885,37.27,29770400,36.82,36.82,37.025,888680707.5,888680707.5,888680707.5,0.0,3
TQBR,2021-06-15,Сургнфгз,SNGS,30466,3376840762.0,37.29,37.01,38.67,38.07,37.98,38.37,88916400,37.955,37.955,38.07,3178304924.5,3178304924.5,3178304924.5,0.0,3
TQBR,2021-06-16,Сургнфгз,SNGS,28060,3175992683.5,38.5,37.57,39.0,38.445,38.25,38.055,83033800,38.255,38.255,38.445,2957654948.5,2957654948.5,2957654948.5,0.0,3
TQBR,2021-06-17,Сургнфгз,SNGS,14281,1618411387.0,38.0,37.78,38.44,38.25,38.175,38.025,42394200,38.19,38.19,38.25,1509340244.5,1509340244.5,1509340244.5,0.0,3
TQBR,2021-06-18,Сургнфгз,SNGS,14246,2251014818.0,38.09,37.22,38.15,37.875,37.76,37.74,59614100,37.76,37.76,37.875,2205794093.5,2205794093.5,2205794093.5,0.0,3
TQBR,2021-06-21,Сургнфгз,SNGS,9884,1220046224.0,37.75,37.22,38.0,37.61,37.62,37.885,32432900,37.6,37.6,37.61,1109080155.0,1109080155.0,1109080155.0,0.0,3
TQBR,2021-06-22,Сургнфгз,SNGS,8929,878169192.0,37.94,37.76,38.325,37.9,38.015,38.145,23102000,38.01,38.01,37.9,836260996.0,836260996.0,836260996.0,0.0,3
